query,label
is a code of ethics and code of conduct the same,Boolean
Do people 18+ have a right to privacy living under their parents roof?,Boolean
Are mobiles harmful for health?,Boolean
Are there any animals with more than one heart?,Boolean
Are there any black holes in the Milky Way galaxy?,Boolean
Can a nuclear explosion at Yellowstone National Park cause a global catastrophe?,Boolean
Can contact lenses be stored in water?,Boolean
Can height increase after 25 by any method except surgeries?,Boolean
Can I apply for E-2 visa while I applied for a green card?,Boolean
Can I do LLB after B.Tech?,Boolean
Can I drive on an Indian driver's license in the US?,Boolean
Can I flush cat litter in a common toilet? Why or why not?,Boolean
Can you live without brain stem?,Boolean
Can you spray paint on rubber?,Boolean
Can you watch normal movies on VR glasses?,Boolean
Did Ryan Gosling learn to play piano for La La Land?,Boolean
"Do Australians use the term ""sheila"" in normal conversation?",Boolean
Do black holes have a max capacity?,Boolean
Do gravitational waves affect the flow of time?,Boolean
Do I need to acquire some sort of license in order to cover a song?,Boolean
"Do parallel lines intersect at (infinity, infinity) in any field of math?",Boolean
Do you really need a micro sim adapter to put a nano sim card into a Samsung Galaxy S3?,Boolean
Does alcohol cause strokes?,Boolean
Does chronic hyperventilation cause brain damage?,Boolean
Does hair dye increase your risk of cancer?,Boolean
Does light affect sound level?,Boolean
Does meditation help against anxiety?,Boolean
Does my SSN appear on my US Passport?,Boolean
Is it possible to lose 25 pound in 1 month?,Boolean
Is it safe to buy a laptop-online from Infibeam?,Boolean
Is it safe to eat raw egg?,Boolean
Is it safe to use lemon to whiten teeth?,Boolean
Is it true that time stops inside a black hole?,Boolean
Is NATO a defensive organization?,Boolean
Is rain water safe to drink?,Boolean
Is ranch dressing bad for you?,Boolean
Is the Human brain smarter than computers?,Boolean
Is there a co-working space that is exclusively meant for fashion designers?,Boolean
Is video calling safe on Skype?,Boolean
Was Leonardo da Vinci a German?,Boolean
Will drinking Coke after food help in digestion?,Boolean
Do successful people drink alcohol?,Boolean
Does natural tobacco have nicotine?,Boolean
Does Ruby on Rails scale?,Boolean
Does alcohol increase blood pressure?,Boolean
