query,label
how old is shay carl butler,Age
what age can kids have makeup,Age
what age should you get contacts,Age
cpr certification age requirement,Age
when do boys go through puberty,Age
what is the life expectancy?,Age
age to check into a hotel,Age
how old is raymond romano,Age
how old is orochimaru,Age
age cat eyes open,Age
how old do can you be to have job,Age
what age can i sell kittens,Age
what age are toddlers,Age
how old is stephen willeford,Age
at what age can you collect medicare benefits,Age
when should a boy be potty trained,Age
how old is a child movie ticket,Age
by what age has an infant begun to understand the emotions that lie behind facial and vocal expressions of others,Age
age of earth bible,Age
age limit on fsa,Age
when will baby roll over,Age
what age is passport required,Age
when should baby have words,Age
how old is the youngest surgeon in the world,Age
how old is jacob roloff,Age
", how many milligrams of caffeine are in the average cup of coffee",Conversion
about how many gallons of oil are in the tank?,Conversion
amateurs how many kilometers in a mile,Conversion
bu measurement conversion in kg,Conversion
converting a ratio to a percentage,Conversion
cortana how many pounds in a ton,Conversion
cortana how many quarts are in a gallon,Conversion
gold how many grains in a gram,Conversion
cortana how many milliliters in a cup,Conversion
how long is a century in years,Conversion
how many feet in a meter how many meters in a foot,Conversion
how many how many meters are in a yard,Conversion
how many square feet how many square feet are there in an acre,Conversion
how to calculate annual salary into hourly rate_biweekly,Conversion
how to calculate annual salary to hourly,Conversion
how to calculate hourly to yearly salary,Conversion
how to calculate how many gallons is in the fish tank,Conversion
how to calculate how many litres in my pool,Conversion
inch pounds to foot pounds conversion formula,Conversion
one canadian dollar equals how many rupees of india,Conversion
tell me how many kilograms in a tonne,Conversion
temperature conversion fahrenheit to celsius,Conversion
time conversion minutes to hundredths,Conversion
using a pedometer how many steps in a mile,Conversion
weight conversion from grams to kilograms,Conversion
weight conversion from pounds to kilograms,Conversion
weight conversion kilograms to pounds,Conversion
weight conversion lb to grams,Conversion
weight conversion metric tons to tons,Conversion
what is the conversion factor of km to mm,Conversion
what is the conversion rate of ml to tablespoons,Conversion
How do you convert an hour of kilowatt use to megawatts?,Conversion
how many km in a meter,Conversion
how many liquid ounces in pound,Conversion
how many miles is anc to yyz,Conversion
how many cups in a shot,Conversion
how many btus in a metric ton,Conversion
how many kva is 1 kw,Conversion
what's one dollar equal in pesos,Conversion
how many cups equal to a litre,Conversion
how big is four millimeters,Conversion
how many milliliters in one fluid ounce,Conversion
acre/sf,Conversion
how many milliseconds are in a second,Conversion
how long is formula good for in a bottle,Duration
How long can a healthy person survive with water only?,Duration
How long does an iPhone 5 battery last?,Duration
How long is alcohol detected in blood?,Duration
how long does it take for alcohol detox,Duration
how long do female dogs stay in standing heat,Duration
how long does it take for marijuana to clear,Duration
how long is frozen food safe,Duration
how long does salmon need to be cooked,Duration
how many years will it take a human to get to pluto,Duration
how long do xanax stay in your system drug test,Duration
how long should it take to get federal refund when i file electronically?,Duration
how long does shingles usually last,Duration
length of time for short-term memory,Duration
healing time after gallbladder removal,Duration
how many hours it takes for ei first time,Duration
how long does it take to paint a fire hydrant,Duration
how long to cook asparagus when you blanch it,Duration
how long do cockatiel eggs take to hatch,Duration
how long does it take for box turtles eggs to hatch,Duration
how long can humulin r be unrefrigerated,Duration
how long to get referral points on account,Duration
how long do you cook a roast beef,Duration
how long can before fda has to examine,Duration
how long is a marriage license good,Duration
how long do you cook pork tenderloins,Duration
how long does engine oil last,Duration
how long do water heaters last,Duration
how long to cook poached eggs in a poacher,Duration
how long does dog food bag last,Duration
how long to grow beard,Duration
how long do you breastfeed a baby for,Duration
how long do newly pierced ears hurt,Duration
how long to boil fresh string beans,Duration
how long can cooked venison sit out,Duration
how long must you wait to take the road driving test again in ca,Duration
how long to get a black belt in judo,Duration
how long do orthotics last,Duration
how long to digest food before running,Duration
how long from las vegas to los angeles,Duration
how long do pythons live,Duration
how long does it take to marijuana to get out your system,Duration
How Long to Cook Boneless Pork Chops,Duration
how long until a sprained ankle heals,Duration
how long can you leave beans out before they go bad,Duration
how long is scabies contagious after starting treatment,Duration
how long does it take to get results from pulmonary function test,Duration
how long does it take for a credit inquiry to come off credit report,Duration
how long does it take for skin to peel after fraxel,Duration
how long does defrosted chicken,Duration
how long do american crows live in captivity,Duration
how long it takes for alcohol to leave your system completely,Duration
how long can horses run,Duration
how long do lettuce seeds last,Duration
how long does the earth rotate on its axis,Duration
how long does it take for amazon to refund a cancelled order,Duration
how long did rome rule the western world,Duration
how long is a hamsters gestation period,Duration
how long does it take for hot spring spas to heat up,Duration
how long until thyroid meds start working,Duration
how long can mashed potatoes be refrigerated,Duration
how long is a funny car track,Duration
how long does.salad dressing last after opened,Duration
how long to leave in splat hair dye,Duration
how long should you get your period when you now start,Duration
how long do you have to go college to become nurse,Duration
how long does an astronaut prepare for space,Duration
how long to wait between multiple eye drops,Duration
how long to keep financial documents,Duration
how long does it take to cook a lobster,Duration
how long to run 5km on treadmill,Duration
how long does wine stay in your system for a urine test,Duration
how long do daffodils last,Duration
how long is police academy training,Duration
how long is the chunnel ride,Duration
how long do you boil an egg to make it hard boiled,Duration
how long before a laxative works,Duration
how long does fresh bread stay fresh,Duration
how long does a tavr procedure take,Duration
how long will a flu last,Duration
how long to heal collarbone,Duration
how long does it take for a nerve to heal,Duration
how long has earth been habitable,Duration
how long to bake steaks in oven,Duration
how long do gray parrots live,Duration
how long is cooked beef good for in the refrigerator?,Duration
how long does a henna take to dry,Duration
how long for eye to clear up,Duration
how long do hematomas last,Duration
how long to receive mail-in return,Duration
how long does it take to completely cool cupcakes?,Duration
how long to get rid of ringworm in dogs,Duration
how long should baby breastfeed each time,Duration
strep throat incubation period after exposure,Duration
what is incubation period for poison ivy,Duration
how long are you to keep bills,Duration
average length of a baseball game,Duration
change of status processing time,Duration
longest nba career,Duration
incubation time for VZV,Duration
at what speed is the sound barrier,Frequency
average adult heart rate,Frequency
average resting heart rate for an adult,Frequency
average speed for baseball pitcher,Frequency
average speed of commercial jet at cruising altitude,Frequency
average speed on a bicycle,Frequency
average upload speed uk,Frequency
fastest skateboard speed ever,Frequency
at what speed do electromagnetic waves travel?,Frequency
how fast do ice speed skater skate,Frequency
how fast does the speed of dark?,Frequency
how fast is formula 1 car,Frequency
how high does my heart rate have to be for fat burning,Frequency
max working heart rate for age,Frequency
normal heart rate during normal activity,Frequency
